issue_detail,2014,2015,2016,2017,2018,2019
Insists on securing mobility device,,,,,,2.0
Insufficient Fare,10.0,10.0,12.0,6.0,1.0,3.0
Intent To Harm / Intimidate,61.0,135.0,214.0,213.0,201.0,106.0
Intent to harm/intimidate,,3.0,1.0,7.0,1.0,7.0
Lack of Information,58.0,139.0,245.0,120.0,120.0,65.0
Lane Configuration,1.0,,2.0,4.0,1.0,1.0
Late / Delay,2498.0,4192.0,10618.0,10273.0,9920.0,17194.0
Leaking / Wet,34.0,39.0,54.0,34.0,61.0,63.0
Left at Wrong Stop,120.0,81.0,104.0,57.0,112.0,50.0
Litter / Garbage / Debris,29.0,64.0,97.0,119.0,114.0,155.0
Long Ride,10.0,38.0,49.0,11.0,214.0,6.0
Long Wait / Long Lines,51.0,112.0,161.0,64.0,48.0,8.0
Lost While Driving,41.0,84.0,110.0,64.0,127.0,126.0
Lost or Stolen Ticket / MetroCard,2.0,4.0,8.0,2.0,2.0,1.0
Major Service Disruption,4.0,1.0,1.0,3.0,4.0,1.0
MetroCard Balance Protection,,5.0,4.0,,,
Money / Ticket Not Returned,7.0,46.0,75.0,39.0,30.0,19.0
Neatness / Personal Appearance,4.0,6.0,7.0,4.0,,43.0
No Restroom,1.0,,2.0,,,
No Show,66.0,9.0,13.0,5.0,8.0,3.0
No Ticket / Receipt Printed,20.0,33.0,117.0,113.0,123.0,64.0
No Value,,,,,,1.0
No annoucement / messages - Audio,,,,,,2.0
Noise,29.0,55.0,58.0,107.0,90.0,87.0
Non-Work Related Distractions,216.0,324.0,516.0,355.0,308.0,212.0
Non-work related distractions,1.0,8.0,9.0,1.0,3.0,2.0
Not All Tickets Available,3.0,1.0,,1.0,1.0,
Not Helpful,586.0,721.0,1521.0,1051.0,816.0,847.0
Not Seen / Not Available,36.0,39.0,37.0,26.0,26.0,23.0
Not Working / Out of Service,194.0,418.0,970.0,932.0,1083.0,1408.0
Not helpful,1.0,30.0,62.0,21.0,34.0,27.0
Not regulating service properly,,1242.0,3155.0,2679.0,3020.0,1335.0
Not satisfied with response,,143.0,232.0,203.0,78.0,39.0
Not seen/not available,,66.0,164.0,24.0,20.0,25.0
Offensive Advertising,,8.0,5.0,9.0,5.0,2.0
Open En Route,1.0,1.0,,1.0,1.0,
Operating Conditions / Availability,,,,,,2548.0
Operating Performance,,,,,,1723.0
Operating Safety,,,,,,472.0
Other,894.0,920.0,1119.0,1242.0,1668.0,3990.0
Other Animals,1.0,2.0,2.0,,,4.0
Payment Card / Payment Not Accepted,4.0,2.0,11.0,3.0,2.0,7.0
Performance Under Stress,9.0,29.0,111.0,36.0,21.0,11.0
Pigeons / Birds,,2.0,2.0,,4.0,5.0
Planned Detour,91.0,151.0,270.0,220.0,255.0,425.0
Poor Location,54.0,142.0,195.0,162.0,333.0,193.0
Pricing / Payment / Billing Error,,1.0,,,,
Printing Error,3.0,1.0,1.0,,2.0,1.0
Proposed Fare / Toll Change,1.0,96.0,30.0,8.0,15.0,12.0
Rats / Mice,2.0,2.0,6.0,3.0,3.0,
Received Wrong Response,,6.0,20.0,4.0,3.0,5.0
Reckless Driving,1316.0,1787.0,4979.0,4494.0,4652.0,5690.0
Refund,3.0,13.0,36.0,9.0,,
Refused Lift,70.0,299.0,247.0,52.0,218.0,
Refused to deploy lift,,,,,10.0,66.0
Refused to deploy lift (non-wheelchair),,,,,,10.0
Refused to waive fare for personal care attendent,,,,,1.0,3.0
Requested documentation for service animal,,,,,1.0,15.0
Rude/ Inappropriate Language,1391.0,2292.0,6616.0,4840.0,4873.0,5606.0
Rude/Inappropriate Language,,,3.0,7.0,9.0,2.0
Security / Police Matters,,,,,,69.0
Sexual Harassment,,,,,,5.0
Size,4.0,11.0,11.0,4.0,18.0,1.0
Sleeping,9.0,58.0,68.0,57.0,66.0,19.0
Slow Driving,83.0,392.0,611.0,498.0,420.0,706.0
Smoke / Fumes / Smell / Odor,65.0,121.0,154.0,118.0,140.0,204.0
Smoking,21.0,97.0,140.0,130.0,139.0,69.0
Snow / Ice,3.0,91.0,207.0,154.0,57.0,5.0
Summons / Violation,,,1.0,16.0,12.0,11.0
Terminated Route Early,158.0,447.0,696.0,504.0,628.0,534.0
Ticket / Badge Not Honored,29.0,102.0,181.0,127.0,78.0,36.0
Ticket Not Collected,28.0,164.0,189.0,128.0,130.0,99.0
Timeliness - Audio,,5.0,6.0,7.0,4.0,2.0
Timeliness - Visual / Text,2.0,14.0,20.0,13.0,8.0,
Too Bright,1.0,1.0,,2.0,3.0,1.0
Too Cold,63.0,140.0,167.0,120.0,113.0,100.0
Too Dark,8.0,13.0,26.0,11.0,13.0,11.0
Too Hot,31.0,54.0,58.0,74.0,74.0,409.0
Too Too Dark,,4.0,3.0,3.0,2.0,
Traffic Delays,5.0,20.0,11.0,10.0,11.0,3.0
Transfer Lost,76.0,188.0,205.0,127.0,103.0,64.0
Transfer Policy,6.0,26.0,30.0,15.0,12.0,4.0
Transit Benefit Tickets,,1.0,4.0,,,
Trespass,,,1.0,,,
Trip Cancelled,2.0,,,2.0,,
Unable To Exit At Station / Stop,70.0,34.0,59.0,45.0,55.0,30.0
Unauthorized / Criminal Activity,25.0,24.0,45.0,42.0,25.0,52.0
Validity / Expiration,3.0,6.0,10.0,5.0,2.0,
Vehicle Breakdown,13.0,15.0,25.0,12.0,24.0,29.0
Very Helpful / Friendly,1.0,,,14.0,8.0,2.0
Very Helpful/Friendly,,,,,1.0,
Volume Too High,2.0,3.0,11.0,40.0,35.0,78.0
Wrong Amount Added,7.0,6.0,6.0,8.0,4.0,3.0
Wrong Card Returned,,,2.0,,1.0,
Wrong Sumons Issued,3.0,31.0,36.0,7.0,7.0,5.0
add more / not enough,,,5.0,1.0,2.0,1.0
other,,,,1.0,1.0,1.0
